,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
15291,Cinderella - Original Broadway Cast: A Lovely Night,"Richard Rodgers, Julie Andrews, Ilka Chase, Alice Ghostley, Kaye Ballard, Alfredo Antonini",broadway,"hollywood, movie tunes, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15292,Cinderella - Original Broadway Cast: When You're Driving Through the Moonlight,"Richard Rodgers, Julie Andrews, Ilka Chase, Kaye Ballard, Alice Ghostley, Alfredo Antonini",broadway,"hollywood, movie tunes, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15293,Getting To Know You,"Richard Rodgers, Julie Andrews, John Mauceri, Hollywood Bowl Orchestra",broadway,"hollywood, movie tunes, show tunes",opera,american orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15294,Cinderella - Original Broadway Cast: Stepsisters' Lament,"Richard Rodgers, Kaye Ballard, Alice Ghostley, Alfredo Antonini",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15295,The King and I (1951): Shall We Dance? - Voice,"Richard Rodgers, Lehman Engel, Barbara Cook, Childrens Chorus, Theodore Bikel",broadway,,"broadway, show tunes",movie tunes,"klezmer, russian folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15296,"Oklahoma! (1943): Oh, What A Beautiful Mornin' - Voice","Richard Rodgers, Lehman Engel, Nelson Eddy, Virginia Haskins, Portia Nelson",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15297,You'll Never Walk Alone,"Richard Rodgers, Mario Lanza, Irving Aaronson",broadway,"adult standards, canzone napoletana, classical tenor, operatic pop",dixieland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15298,"If I Loved You (from ""Carousel"")","Richard Rodgers, Mario Lanza, Ray Sinatra",broadway,"adult standards, canzone napoletana, classical tenor, operatic pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15299,South Pacific - Original Broadway Cast Recording: Twin Soliloquies - Voice,"Richard Rodgers, Mary Martin, Ezio Pinza, Salvatore DellIsola",broadway,broadway,italian bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15300,My Girl Back Home (Bonus Track),"Richard Rodgers, Mary Martin, Lehman Engel",broadway,broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15301,South Pacific - Original Broadway Cast Recording: A Cockeyed Optimist - Voice,"Richard Rodgers, Mary Martin, Salvatore DellIsola",broadway,broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15302,South Pacific - Original Broadway Cast Recording: A Wonderful Guy - Voice,"Richard Rodgers, Mary Martin, South Pacific Ensemble, Salvatore DellIsola",broadway,broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15303,"Oh, What A Beautiful Mornin'","Richard Rodgers, Mormon Tabernacle Choir, Arthur Harris, Columbia Symphony Orchestra",broadway,"american choir, lds",,orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15304,Victory at Sea (Symphonic Scenario),"Richard Rodgers, New York Philharmonic",broadway,"american orchestra, classical, classical performance, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15305,State Fair 1945: Isn't It Kinda Fun? Reprise (Outtake),"Richard Rodgers, Oscar Hammerstein II",broadway,broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15306,A Lovely Night (Demo),"Richard Rodgers, Oscar Hammerstein II, Julie Andrews",broadway,broadway,"hollywood, movie tunes, show tunes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15307,The Boys from Syracuse: Sing for Your Supper,"Richard Rodgers, Portia Nelson, Holly Harris, Bibi Osterwald, Lehman Engel",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15308,The Boys from Syracuse: Falling in Love with Love,"Richard Rodgers, Portia Nelson, Lehman Engel",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15309,"You'll Never Walk Alone (From ""Carousel"")","Richard Rodgers, Richard Tucker, Skitch Henderson & His Orchestra, Skitch Henderson, Skitch Henderson Orchestra",broadway,"classical tenor, opera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15310,Cinderella - Original Broadway Cast: The Prince Is Giving a Ball,"Richard Rodgers, Robert Penn, Cinderella Ensemble, Alfredo Antonini",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15311,South Pacific (1949): There Is Nothin' Like A Dame - Voice,"Richard Rodgers, Salvatore DellIsola, Ezio Pinza, Henry Mitchell, Jim Hawthorne, Alan Gilbert",broadway,,italian bass,,,"classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15312,Flower Drum Song (1957): I Enjoy Being A Girl - Voice,"Richard Rodgers, Salvatore DellIsola, Pat Suzuki, Larry Blyden",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15313,South Pacific - Original Broadway Cast Recording: Bloody Mary - Voice,"Richard Rodgers, South Pacific Ensemble, Salvatore DellIsola",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15314,South Pacific - Original Broadway Cast Recording: Overture,"Richard Rodgers, South Pacific Orchestra, Salvatore DellIsola",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15315,Cinderella - Original Broadway Cast: Overture,"Richard Rodgers, The Cinderella Orchestra, Alfredo Antonini",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15316,South Pacific: There is Nothin' Like a Dame,"Richard Rodgers, Various Artists",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15317,South Pacific: Dites-Moi,"Richard Rodgers, Various Artists, Salvatore DellIsola",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15318,South Pacific - Original Broadway Cast Recording: You've Got to be Carefully Taught - Voice,"Richard Rodgers, William Tabbert, Salvatore DellIsola",broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15319,It Came Upon a Midnight Clear,"Richard S. Willis, The Philadelphia Brass Ensemble",american romanticism,brass ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15320,Total Praise (with Vision) - Live,"Richard Smallwood, Vision",gospel,"antiviral pop, social media pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15321,It Came Upon A Midnight Clear,"Richard Storrs Willis, Dame Joan Sutherland, New Philharmonia Orchestra, Richard Bonynge",american romanticism,"classical soprano, opera","classical performance, orchestra","classical performance, opera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15322,"Der Rosenkavalier, Op. 59, TrV 227: Ist ein Traum, kann nicht wirklich sein","Richard Strauss, Adele Kern, Elfriede Marherr, Unknown Orchestra, Julius Pruwer","classical, early modern classical, german romanticism, post-romantic era",,,"chillwave, indie rock, indie soul, kiwi rock, neo-psychedelic, new rave, portland hip hop, psychedelic pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15323,"Ariadne auf Naxos, TrV 228: Zerbinetta's Scene","Richard Strauss, Adele Kern, Staatskapelle Berlin, Alois Melichar","classical, early modern classical, german romanticism, post-romantic era",,"classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15324,"Der Rosenkavalier, Op.59 / Act 2: Herr Schwiegersohn! Wie ist ihm denn?","Richard Strauss, Alfred Poell, Ludwig Weber, Sena Jurinac, Hilde Gueden, Wiener Philharmoniker, Erich Kleiber","classical, early modern classical, german romanticism, post-romantic era",,classical bass,classical soprano,"classical soprano, opera","austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15325,"Der Rosenkavalier, Op.59 / Act 3: ""Zur Stelle! Was wird von mir gewünscht?""","Richard Strauss, Alfred Poell, Ludwig Weber, Walter Berry, Erich Majkut, Hilde Gueden, Vienna State Opera Chorus, Wiener Philharmoniker, Erich Kleiber","classical, early modern classical, german romanticism, post-romantic era",,classical bass,classical bass,,"classical soprano, opera","austrian choir, classical performance, opera, opera chorus","austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15326,"Die Liebe der Danae, Op. 83, TrV 278, Act III: Geliebter! Freund! (Live)","Richard Strauss, Annelies Kupper, Josef Gostic, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",,,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15327,"Die Liebe der Danae, Op. 83, TrV 278, Act II: Midas, Geliebter, bleibe mir hold (Live)","Richard Strauss, Annelies Kupper, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15328,"Tod und Verklärung, Op. 24: I. Largo (Glückliche Erinnerungen an die Kindheit)","Richard Strauss, Arturo Toscanini","classical, early modern classical, german romanticism, post-romantic era","classical performance, historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15329,Don Quixote Op.35: XI Variation X: The Defeat of Don Quixote by the Knight of the White Moon,"Richard Strauss, Bavarian State Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical, classical performance, german orchestra, orchestra, radio symphony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15330,"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)","Richard Strauss, Berliner Philharmoniker, Herbert von Karajan","classical, early modern classical, german romanticism, post-romantic era","classical, classical performance, german orchestra, orchestra","classical, classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15331,"Elektra, Op.58, TrV 223: ""Allein! Weh, ganz allein.""","Richard Strauss, Birgit Nilsson, Wiener Philharmoniker, Sir Georg Solti","classical, early modern classical, german romanticism, post-romantic era","classical performance, classical soprano, opera","austrian orchestra, classical, classical performance, orchestra",orchestral performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15332,"Tod und Verklärung, Op. 24","Richard Strauss, Bruno Walter","classical, early modern classical, german romanticism, post-romantic era","classical performance, historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15333,"Burleske for Piano and Orchestra in D Minor, TrV 145 - Live","Richard Strauss, Claudio Arrau, Désiré Defauw, Chicago Symphony Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical, classical performance, classical piano, latin american classical piano",historic orchestral performance,"american orchestra, classical, classical performance, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15334,"Die Liebe der Danae, Op. 83, TrV 278, Act II: Interlude - Hochzeitszug! (Live)","Richard Strauss, Dorothea Siebert, Ester Réthy, Georgine Von Milinkovic, Sieglinde Wagner, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",,,,classical contralto,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15335,"Ariadne auf Naxos, Op. 60, TrV 228a: The Opera: Es gibt ein Reich, wo alles rein ist (Ariadne)","Richard Strauss, Eduard Marks, Alfred Poell, Sena Jurinac, Hans Hopf, Ferdinand Schnelle, Peter Offermanns, Werner Engelhardt, Heiner Horn, Rita Streich, Hilde Zadek, Gerda Sommerschuh, Maria von Ilosvay, Kathe Moller-Siepermann, Horst Gunter, Alfred Pfeifle, Fritz Ollendorff, Walter Jenckel, Cologne Radio Symphony Orchestra, Joseph Keilberth","classical, early modern classical, german romanticism, post-romantic era",,,classical soprano,classical tenor,,,,,"classical soprano, opera",,,,,,,,,radio symphony,historic orchestral performance,,,,,,,,,,,,,,,,,,,,
15336,"Der Rosenkavalier, Op. 59, TrV 227: Hab mir's gelobt","Richard Strauss, Elisabeth Ohms, Adele Kern, Elfriede Marherr, Unknown Orchestra, Julius Pruwer","classical, early modern classical, german romanticism, post-romantic era",,,,"chillwave, indie rock, indie soul, kiwi rock, neo-psychedelic, new rave, portland hip hop, psychedelic pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15337,"Der Rosenkavalier (2001 - Remaster), Act III: Marie Theres'!...Hab'mir's gelobt (Sophie/Octavian/Marschallin)","Richard Strauss, Elisabeth Schwarzkopf, Anny Felbermayer, Christa Ludwig, Eberhard Wächter, Erich Majkut, Franz Bierbach, Gerhard Unger, Harald Pröglhöf, Karl Friedrich, Kerstin Meyer, Ljuba Welitsch, Nicolai Gedda, Otto Edelmann, Paul Kuen, Teresa Stich-Randall, Herbert von Karajan, Philharmonia Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical performance, classical soprano, opera",,"classical mezzo-soprano, classical performance, opera",classical baritone,,,,,,,classical soprano,"classical tenor, opera",classical bass,,,"classical, classical performance, orchestral performance","british orchestra, classical, classical performance, opera, orchestra",,,,,,,,,,,,,,,,,,,,,,
15338,"Strauss: 4 Letzte Lieder: No. 2, September","Richard Strauss, Elisabeth Schwarzkopf, Otto Ackermann, Philharmonia Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical performance, classical soprano, opera",historic orchestral performance,"british orchestra, classical, classical performance, opera, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15339,Act II: Arie der Helena,"Richard Strauss, Erich Leinsdorf, Leontyne Price","classical, early modern classical, german romanticism, post-romantic era","classical performance, opera, orchestral performance","classical soprano, opera, spirituals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15340,"Arabella, Op.79, TrV 263 / Act 1: Bin nicht in der Lage, länger zu warten! - Live","Richard Strauss, Franz Szkokan, Hans Hotter, Georg Hann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",,classical bass,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15341,"Arabella, Op.79, TrV 263 / Act 2: Ein Feigling bin ich - Live","Richard Strauss, Franz Szkokan, Lisa della Casa, Herma Handl, Rosette Anday, Horst Taubmann, Julius Patzak, Hans Hotter, Georg Hann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",,classical soprano,,,,classical tenor,classical bass,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15342,"Arabella, Op.79, TrV 263 / Act 3: Über seine Felder - Live","Richard Strauss, Franz Szkokan, Maria Reining, Rosette Anday, Horst Taubmann, Hans Hotter, Georg Hann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",,,,,classical bass,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15343,"Ein Heldenleben, Op. 40: The Hero","Richard Strauss, Fritz Reiner","classical, early modern classical, german romanticism, post-romantic era","classical performance, historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15344,"Also sprach Zarathustra, Op. 30: I. Sunrise","Richard Strauss, Fritz Reiner, Chicago Symphony Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical performance, historic orchestral performance, orchestral performance","american orchestra, classical, classical performance, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15345,"Till Eulenspiegels lustige Streiche, Op. 28, TrV 171 - Instrumental","Richard Strauss, George Szell, Cleveland Orchestra","classical, early modern classical, german romanticism, post-romantic era","classical performance, historic orchestral performance, orchestral performance","american orchestra, classical, classical performance, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15346,"Piano Sonata in B Minor, Op. 5, TrV 103: II. Adagio cantabile","Richard Strauss, Glenn Gould","classical, early modern classical, german romanticism, post-romantic era","canadian classical piano, canadian contemporary r&b, classical, classical performance, classical piano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15347,"Horn Concerto No. 2 in E-Flat Major, TrV 283: I. Allegro - II. Andante con moto","Richard Strauss, Gottfried von Freiberg, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15348,"Salome, Op.54 / Scene 3: Wird dir nicht bange...Laß mich deinen Mund küssen","Richard Strauss, Hans Braun, Christel Goltz, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",,vintage classical singing,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15349,"Salome, Op.54 / Scene 1: ""Nach mir wird Einer kommen""","Richard Strauss, Hans Braun, Herbert Alsen, Walter Berry, Ljubomir Pantscheff, Else Schurhoff, Anton Dermota, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",,,classical bass,,,classical tenor,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15350,"Arabella, Op.79, TrV 263 / Act 3: Sie gibt mir keinen Blick, sie sagt nicht gute Nacht - Live","Richard Strauss, Hans Hotter, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical bass,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15351,"Heimliche Aufforderung, Op. 27, No. 3","Richard Strauss, Heinrich Schlusnus, Sebastian Peschko","classical, early modern classical, german romanticism, post-romantic era",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15352,"Arabella, Op.79, TrV 263 / Act 2: Der Ball begehrt nach seiner Königin - Live","Richard Strauss, Herma Handl, Josef Witt, Wiener Philharmoniker, Karl Böhm, Vienna State Opera Chorus","classical, early modern classical, german romanticism, post-romantic era",,,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance","austrian choir, classical performance, opera, opera chorus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15353,"Der Rosenkavalier, Op.59 / Act 2: ""Jetzt aber kommt mein Herr Zukünftiger""","Richard Strauss, Hilde Gueden, Alfred Poell, Ludwig Weber, Sena Jurinac, Judith Hellwig, Wiener Philharmoniker, Erich Kleiber","classical, early modern classical, german romanticism, post-romantic era","classical soprano, opera",,classical bass,classical soprano,,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15354,"Der Rosenkavalier, Op.59 / Act 3: ""Ist ein Traum, kann nicht wirklich sein"" - ""Spür nur dich""","Richard Strauss, Hilde Gueden, Sena Jurinac, Wiener Philharmoniker, Erich Kleiber","classical, early modern classical, german romanticism, post-romantic era","classical soprano, opera",classical soprano,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15355,"Fünf Lieder, Op.41: Wiegenlied","Richard Strauss, Irmgard Seefried, Erik Werba","classical, early modern classical, german romanticism, post-romantic era",classical soprano,art song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15356,"Sonata, Op. 18, in E-Flat: Allegro, ma non troppo","Richard Strauss, Jascha Heifetz","classical, early modern classical, german romanticism, post-romantic era","classical performance, violin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15357,"Vier letzte Lieder, TrV 296: 4. Im Abendrot","Richard Strauss, Jessye Norman, Gewandhausorchester Leipzig, Kurt Masur","classical, early modern classical, german romanticism, post-romantic era","classical performance, classical soprano, opera, spirituals","classical performance, german orchestra, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15358,"Salome, Op.54 / Scene 4: ""Wo ist Salome?""","Richard Strauss, Julius Patzak, Margareta Kenney, Walter Berry, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",classical tenor,,classical bass,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15359,"Salome, Op.54 / Scene 4: Es ist kalt hier","Richard Strauss, Julius Patzak, Margareta Kenney, Wiener Philharmoniker, Clemens Krauss","classical, early modern classical, german romanticism, post-romantic era",classical tenor,,"austrian orchestra, classical, classical performance, orchestra","historic orchestral performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15360,"Ständchen, Op.17, No.2","Richard Strauss, Julius Patzak, Orchestra","classical, early modern classical, german romanticism, post-romantic era",classical tenor,"album rock, art rock, beatlesque, bow pop, classic rock, folk rock, glam rock, mellow gold, rock, soft rock, symphonic rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15361,"Strauss, R: Der Rosenkavalier, Op. 59, TrV 227, Act 2: ""Mit ihren Augen voll Tränen"" (Sophie, Octavian)","Richard Strauss, Karl Böhm, Elisabeth Höngen, Esther Rethy, Staatskapelle Dresden","classical, early modern classical, german romanticism, post-romantic era","classical performance, orchestral performance",classical mezzo-soprano,,"classical, classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15362,"Strauss, R: Daphne, Op. 82, TrV 272: ""O wie gern blieb' ich bei dir"" (Daphne)","Richard Strauss, Karl Böhm, Margarete Teschemacher, Staatskapelle Dresden","classical, early modern classical, german romanticism, post-romantic era","classical performance, orchestral performance",,"classical, classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15363,"Strauss, R: Salome, Op. 54,TrV 215: Dance of the Seven Veils","Richard Strauss, Karl Böhm, Staatskapelle Dresden","classical, early modern classical, german romanticism, post-romantic era","classical performance, orchestral performance","classical, classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15364,"Strauss, R: Daphne, Op. 82, TrV 272: ""Götter! Brüder im hohen Olympos!"" (Apollo)","Richard Strauss, Karl Böhm, Torsten Ralf, Staatskapelle Dresden","classical, early modern classical, german romanticism, post-romantic era","classical performance, orchestral performance",,"classical, classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15365,"Der Rosenkavalier, Op. 59, Akt II: Mir ist die Ehre widerfahren","Richard Strauss, Lisa della Casa, Anneliese Rothenberger, Staatskapelle Dresden, Rudolf Neuhaus","classical, early modern classical, german romanticism, post-romantic era",classical soprano,classical soprano,"classical, classical performance, german orchestra, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15366,"Arabella, Op.79, TrV 263 / Act 1: ""Matteo!"" - ""Zdenko! Du! Bist du allein?"" - Live","Richard Strauss, Lisa della Casa, Horst Taubmann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical soprano,,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15367,"Arabella, Op.79, TrV 263 / Act 1: Hab' ich geträumt? - Live","Richard Strauss, Lisa della Casa, Maria Reining, Horst Taubmann, Georg Hann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical soprano,,,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15368,"Arabella, Op.79, TrV 263 / Act 3: Pap! - Zdenka! Was für ein Aufzug! - Live","Richard Strauss, Lisa della Casa, Maria Reining, Rosette Anday, Horst Taubmann, Hans Hotter, Georg Hann, Wiener Philharmoniker, Karl Böhm, Vienna State Opera Chorus","classical, early modern classical, german romanticism, post-romantic era",classical soprano,,,,classical bass,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance","austrian choir, classical performance, opera, opera chorus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15369,"Arabella, Op.79, TrV 263 / Act 1: Das ist der Schlitten vom Elemer - Live","Richard Strauss, Lisa della Casa, Maria Reining, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical soprano,,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15370,"Arabella, Op.79, TrV 263 / Act 2: Sind Sie allein? - Live","Richard Strauss, Lisa della Casa, Rosette Anday, Horst Taubmann, Hans Hotter, Georg Hann, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical soprano,,,classical bass,"canadian indie, canadian singer-songwriter, deep new americana, vancouver indie","austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15371,"Arabella, Op.79, TrV 263 / Act 1: Sie wollen alle Geld! - Live","Richard Strauss, Lisa della Casa, Wiener Philharmoniker, Karl Böhm","classical, early modern classical, german romanticism, post-romantic era",classical soprano,"austrian orchestra, classical, classical performance, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15372,Le Bourgeois Gentilhomme – Suite Op.60: V Minuet of Lully,"Richard Strauss, London Philharmonic Orchestra","classical, early modern classical, german romanticism, post-romantic era","british orchestra, classical, classical performance, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15373,Also Sprach Zarathustra Op.30: Einleitung (Opening),"Richard Strauss, London Philharmonic Orchestra, Klaus Tennstedt","classical, early modern classical, german romanticism, post-romantic era","british orchestra, classical, classical performance, orchestra",orchestral performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15374,"Der Rosenkavalier, Op.59 / Act 1: ""Di rigori armato il seno""","Richard Strauss, Luciano Pavarotti, Wiener Philharmoniker, Sir Georg Solti","classical, early modern classical, german romanticism, post-romantic era","canzone napoletana, classical tenor, italian tenor, opera, operatic pop","austrian orchestra, classical, classical performance, orchestra",orchestral performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
